ID,Term at Admission (Category),Total Max Term,Gender,County,Race/Ethnicity,Age
4382,3-5 Years,4Y,M,ESSEX,BL,36
4383,6-10 Years,7Y 6M,M,UNION,BL,38
4384,11-14 Years,12Y,M,ESSEX,BL,35
4385,6-10 Years,7Y,M,MIDDLESEX,OA,34
4386,6-10 Years,8Y,M,PASSAIC,BL,43
4387,21+ Years,45Y,M,PASSAIC,BL,37
4388,15-20 Years,16Y,M,PASSAIC,BL,39
4389,3-5 Years,3Y 5M 26D,M,ESSEX,BL,39
4390,6-10 Years,9Y,M,ESSEX,HS,53
4391,6-10 Years,9Y,M,PASSAIC,BL,37
4392,3-5 Years,3Y,M,MERCER,WH,25
4393,3-5 Years,3Y,M,MIDDLESEX,BL,32
4394,6-10 Years,8Y,M,SALEM,WH,49
4395,11-14 Years,12Y,M,ATLANTIC,BL,53
4396,6-10 Years,10Y,M,PASSAIC,BL,28
4397,11-14 Years,13Y 6M,M,UNION,BL,27
4398,3-5 Years,5Y,M,PASSAIC,WH,22
4399,6-10 Years,7Y,M,MERCER,BL,33
4400,21+ Years,LIFE,F,BERGEN,WH,63
4401,11-14 Years,12Y,F,MERCER,BL,63
4402,21+ Years,LIFE,M,BERGEN,BL,56
4403,15-20 Years,15Y,M,HUDSON,WH,53
4404,3-5 Years,5Y,M,MERCER,BL,41
4405,3-5 Years,3Y,M,CAPE MAY,WH,53
4406,6-10 Years,6Y,M,CAMDEN,WH,25
4407,6-10 Years,10Y,M,MIDDLESEX,WH,24
4408,21+ Years,30Y,M,CUMBERLAND,BL,36
4409,21+ Years,25Y,M,OCEAN,WH,40
4410,3-5 Years,5Y,M,ESSEX,BL,31
4411,21+ Years,34Y,M,ESSEX,BL,38
4412,21+ Years,LIFE,M,MIDDLESEX,BL,67
4413,3-5 Years,3Y,F,HUNTERDON,WH,24
4414,6-10 Years,8Y,M,CUMBERLAND,BL,24
4415,6-10 Years,8Y,M,CUMBERLAND,WH,27
4416,15-20 Years,15Y,M,MIDDLESEX,HS,43
4417,3-5 Years,5Y,M,PASSAIC,HS,43
4418,3-5 Years,5Y,M,MIDDLESEX,WH,23
4419,6-10 Years,8Y,M,BERGEN,WH,27
4420,15-20 Years,20Y,M,MIDDLESEX,BL,55
4421,21+ Years,LIFE,M,SALEM,BL,48
4422,15-20 Years,15Y,M,MIDDLESEX,BL,30
4423,6-10 Years,10Y,M,MIDDLESEX,BL,40
4424,21+ Years,25Y,M,MONMOUTH,WH,62
4425,6-10 Years,6Y,M,CAMDEN,BL,33
4426,6-10 Years,6Y,M,MONMOUTH,HS,20
4427,1-2 Years,2Y 1M 23D,M,MONMOUTH,BL,25
4428,21+ Years,30Y,M,GLOUCESTER,WH,50
4429,21+ Years,30Y,M,BURLINGTON,BL,31
4431,6-10 Years,6Y,M,MIDDLESEX,BL,22
4432,3-5 Years,5Y,M,HUDSON,BL,26
4433,1-2 Years,2Y 3M 29D,M,PASSAIC,BL,52
4434,6-10 Years,6Y,M,OCEAN,BL,49
4435,3-5 Years,5Y,M,SOMERSET,WH,32
4436,1-2 Years,2Y 11M 1D,M,MIDDLESEX,BL,36
4437,21+ Years,30Y,M,ATLANTIC,WH,35
4438,21+ Years,LIFE,M,MIDDLESEX,HS,37
4439,11-14 Years,12Y,M,OCEAN,BL,39
4440,3-5 Years,5Y,M,CAMDEN,HS,33
4441,11-14 Years,13Y,M,CAMDEN,BL,35
4442,21+ Years,50Y,M,MIDDLESEX,WH,69
4443,21+ Years,LIFE,M,CUMBERLAND,HS,52
4444,6-10 Years,10Y,M,CAMDEN,BL,52
4445,1-2 Years,2Y 7M 3D,M,ESSEX,BL,35
4446,6-10 Years,8Y,M,ATLANTIC,BL,35
4447,21+ Years,24Y,M,GLOUCESTER,BL,38
4448,21+ Years,LIFE,M,MONMOUTH,BL,70
4449,1-2 Years,1Y 4M,M,SALEM,WH,33
4450,15-20 Years,20Y,M,CAMDEN,HS,35
4451,3-5 Years,5Y,M,SOMERSET,BL,20
4452,15-20 Years,20Y,M,CAMDEN,BL,51
4453,21+ Years,25Y,M,HUDSON,BL,36
4454,15-20 Years,18Y,M,CAMDEN,HS,38
4455,6-10 Years,8Y,M,BERGEN,HS,20
4456,6-10 Years,7Y,M,BURLINGTON,BL,29
4457,21+ Years,LIFE,M,SOMERSET,WH,51
4458,3-5 Years,5Y,M,MERCER,HW,47
4459,15-20 Years,15Y,M,HUNTERDON,BL,37
4460,21+ Years,27Y,M,HUDSON,HS,34
4461,21+ Years,60Y,M,ATLANTIC,WH,31
4462,11-14 Years,12Y,M,MIDDLESEX,BL,31
4463,21+ Years,30Y,M,BURLINGTON,BL,41
4464,11-14 Years,13Y,M,ESSEX,HW,53
4465,21+ Years,57Y,M,BERGEN,BL,27
4466,3-5 Years,5Y,M,CAPE MAY,WH,33
4467,21+ Years,25Y,M,CAMDEN,HS,39
4468,11-14 Years,12Y,M,MIDDLESEX,HS,25
4469,11-14 Years,12Y,M,MIDDLESEX,HS,23
4470,6-10 Years,7Y,M,BERGEN,BL,25
4471,3-5 Years,5Y,M,GLOUCESTER,WH,70
4472,21+ Years,24Y,M,ATLANTIC,BL,39
4473,21+ Years,24Y,M,ATLANTIC,BL,54
4474,21+ Years,45Y,M,UNION,BL,47
4475,6-10 Years,8Y,M,ESSEX,BL,33
4476,6-10 Years,10Y,M,HUDSON,BL,23
4477,3-5 Years,5Y,M,MERCER,HS,30
4478,21+ Years,50Y,M,MONMOUTH,WH,52
4479,6-10 Years,8Y,M,SOMERSET,BL,24
4480,21+ Years,21Y 3M 6D,M,UNION,BL,38
4481,6-10 Years,8Y,M,MIDDLESEX,HS,38
4482,15-20 Years,17Y,M,BURLINGTON,BL,32
4483,6-10 Years,10Y,M,HUDSON,BL,52
4484,6-10 Years,8Y,M,UNION,BL,27
4485,6-10 Years,10Y,M,PASSAIC,BL,38
4486,6-10 Years,8Y,M,GLOUCESTER,WH,38
4487,3-5 Years,3Y,M,CAMDEN,WH,37
4488,3-5 Years,5Y,M,UNION,HS,38
4489,6-10 Years,7Y,M,HUDSON,HS,37
4490,21+ Years,50Y,M,UNION,HS,41
4492,3-5 Years,4Y 4M 11D,M,MONMOUTH,BL,25
4493,21+ Years,24Y,M,CAMDEN,HS,32
4494,6-10 Years,10Y,M,OCEAN,BL,51
4495,3-5 Years,5Y,M,MERCER,WH,33
4496,1-2 Years,1Y 2M 15D,M,OTHER,WH,29
4497,3-5 Years,5Y,M,HUDSON,WH,25
4498,6-10 Years,7Y,M,ESSEX,HS,49
4499,21+ Years,LIFE,M,BURLINGTON,WH,70
4500,6-10 Years,8Y,M,HUDSON,BL,30
4501,21+ Years,23Y,M,ESSEX,BL,29
4502,6-10 Years,10Y,M,GLOUCESTER,BL,29
4503,3-5 Years,5Y,M,MONMOUTH,BL,30
4504,1-2 Years,2Y 11M 12D,M,ESSEX,BL,31
4505,1-2 Years,1Y,M,UNION,BL,42
4506,21+ Years,28Y,M,UNION,WH,53
4507,21+ Years,68Y,M,PASSAIC,BL,37
4508,3-5 Years,5Y,M,ATLANTIC,BL,37
4509,3-5 Years,5Y,M,MIDDLESEX,BL,21
4510,21+ Years,22Y,M,PASSAIC,BL,29
4511,11-14 Years,13Y,M,BURLINGTON,BL,52
4512,11-14 Years,14Y,M,PASSAIC,BL,40
4513,21+ Years,LIFE4,M,OCEAN,BL,27
4514,11-14 Years,13Y,M,MIDDLESEX,BL,26
4515,1-2 Years,2Y 8M 21D,M,ATLANTIC,BL,52
4516,3-5 Years,5Y,M,MIDDLESEX,BL,37
4517,6-10 Years,10Y,M,ESSEX,WH,33
4518,1-2 Years,1Y 4M,M,CAMDEN,WH,38
4519,15-20 Years,16Y,M,UNION,BL,39
4520,15-20 Years,15Y,M,MIDDLESEX,BL,39
4521,6-10 Years,8Y,M,CUMBERLAND,HS,37
4522,21+ Years,30Y,M,ESSEX,WH,50
4523,6-10 Years,7Y,M,CUMBERLAND,WH,33
4524,21+ Years,24Y,M,MERCER,BL,40
4525,6-10 Years,6Y,M,ATLANTIC,WH,30
4526,21+ Years,50Y 28D,M,MONMOUTH,BL,26
4527,11-14 Years,12Y 10M 25D,M,CUMBERLAND,BL,26
4528,3-5 Years,4Y,M,PASSAIC,BL,41
4529,21+ Years,30Y,M,CAMDEN,BL,31
4530,21+ Years,52Y,M,UNION,WH,28
4531,21+ Years,50Y,M,HUDSON,OA,49
4532,6-10 Years,7Y,M,ATLANTIC,WH,33
4533,3-5 Years,3Y,M,CAMDEN,HS,23
4534,3-5 Years,5Y,M,ESSEX,BL,24
4535,6-10 Years,10Y,M,MONMOUTH,WH,24
4536,15-20 Years,17Y,M,OCEAN,WH,34
4537,3-5 Years,5Y,M,ESSEX,BL,21
4538,6-10 Years,6Y,M,PASSAIC,BL,38
4539,3-5 Years,3Y,M,ESSEX,BL,21
4540,6-10 Years,6Y,M,HUDSON,WH,21
4541,21+ Years,25Y,M,CAMDEN,BL,38
4542,21+ Years,LIFE,M,MONMOUTH,BL,36
4543,6-10 Years,8Y,M,BERGEN,WH,30
4544,21+ Years,LIFE4,M,OCEAN,BL,39
4545,6-10 Years,7Y,M,SOMERSET,BL,34
4546,15-20 Years,20Y,M,ATLANTIC,BL,28
4547,6-10 Years,10Y,M,PASSAIC,HS,41
4548,21+ Years,21Y,M,PASSAIC,BL,40
4549,3-5 Years,4Y 3M 22D,M,PASSAIC,WH,39
4550,3-5 Years,5Y,M,MIDDLESEX,WH,22
4551,21+ Years,54Y 4M 19D,M,UNION,BL,38
4552,6-10 Years,8Y,M,ESSEX,BL,38
4553,6-10 Years,8Y,M,ESSEX,BL,33
4554,6-10 Years,7Y,M,CAMDEN,BL,23
4555,6-10 Years,7Y,M,ESSEX,BL,21
4556,6-10 Years,7Y,M,ESSEX,BL,20
4557,11-14 Years,12Y,M,ESSEX,BL,22
4558,11-14 Years,13Y,M,OCEAN,WH,53
4559,3-5 Years,3Y 10M 28D,M,ESSEX,BL,54
4560,21+ Years,LIFE,M,UNION,HS,52
4561,3-5 Years,4Y,M,CAMDEN,BL,28
