ID,Term at Admission (Category),Total Max Term,Gender,County,Race/Ethnicity,Age
7325,3-5 Years,3Y,M,PASSAIC,HS,31
7326,21+ Years,30Y,M,ESSEX,BL,35
7327,3-5 Years,5Y,M,CAMDEN,BL,35
7328,15-20 Years,20Y,M,CAMDEN,BL,37
7329,11-14 Years,11Y 6M,M,ESSEX,BL,49
7330,21+ Years,30Y,M,MERCER,BL,35
7331,15-20 Years,20Y,M,ATLANTIC,BL,65
7332,3-5 Years,5Y,M,ATLANTIC,BL,35
7333,3-5 Years,3Y,M,ESSEX,BL,49
7334,3-5 Years,5Y,M,CAMDEN,BL,50
7335,11-14 Years,13Y 9D,M,MIDDLESEX,BL,28
7336,3-5 Years,5Y,M,UNION,BL,25
7337,21+ Years,34Y,M,CUMBERLAND,BL,35
7338,15-20 Years,18Y,M,MORRIS,WH,44
7339,3-5 Years,4Y,F,PASSAIC,WH,25
7340,15-20 Years,15Y,M,ESSEX,BL,50
7341,3-5 Years,5Y,M,BERGEN,WH,33
7342,6-10 Years,7Y,M,MIDDLESEX,WH,46
7343,6-10 Years,10Y,M,UNION,HS,23
7344,6-10 Years,8Y,M,CAMDEN,BL,24
7345,6-10 Years,6Y,M,GLOUCESTER,WH,24
7346,6-10 Years,7Y,M,ESSEX,WH,24
7347,15-20 Years,20Y,M,ATLANTIC,BL,36
7348,3-5 Years,3Y 5M 11D,M,MONMOUTH,BL,38
7349,1-2 Years,2Y 6M 15D,M,ESSEX,BL,26
7350,3-5 Years,5Y,M,MERCER,BL,58
7351,6-10 Years,6Y,M,ATLANTIC,HS,38
7352,3-5 Years,5Y,M,BERGEN,BL,24
7353,6-10 Years,6Y,M,OCEAN,WH,35
7354,15-20 Years,15Y,M,ATLANTIC,BL,49
7355,6-10 Years,10Y,M,WARREN,WH,63
7356,3-5 Years,3Y,M,PASSAIC,HS,49
7357,6-10 Years,10Y,M,HUDSON,HS,31
7358,15-20 Years,15Y,M,BERGEN,HS,32
7359,3-5 Years,5Y,M,CAMDEN,BL,31
7360,6-10 Years,8Y,M,CAPE MAY,HS,35
7361,21+ Years,50Y,M,MERCER,BL,36
7362,11-14 Years,12Y,M,CAMDEN,WH,30
7363,6-10 Years,10Y,M,PASSAIC,HS,34
7364,6-10 Years,7Y,M,ESSEX,BL,30
7365,11-14 Years,12Y,M,ATLANTIC,BL,28
7366,15-20 Years,15Y,M,CAMDEN,BL,23
7367,3-5 Years,3Y,M,ESSEX,BL,50
7368,3-5 Years,5Y,M,ESSEX,BL,51
7369,3-5 Years,4Y 7M,M,PASSAIC,BL,31
7370,21+ Years,LIFE,M,CAMDEN,BL,50
7371,6-10 Years,8Y,M,BERGEN,WH,40
7372,3-5 Years,3Y,M,BURLINGTON,BL,32
7373,15-20 Years,20Y,M,PASSAIC,BL,41
7374,3-5 Years,3Y,M,CAMDEN,BL,26
7375,6-10 Years,6Y,M,UNION,BL,35
7376,11-14 Years,13Y,M,ESSEX,BL,37
7377,3-5 Years,5Y,M,HUDSON,BL,25
7378,6-10 Years,6Y 6M,M,MERCER,WH,39
7379,15-20 Years,16Y,M,BERGEN,BL,31
7380,1-2 Years,1Y 5M 27D,M,CAMDEN,HS,40
7381,1-2 Years,2Y 11M 25D,M,MERCER,BL,49
7382,15-20 Years,15Y,F,GLOUCESTER,WH,49
7383,6-10 Years,7Y,M,MONMOUTH,BL,26
7384,6-10 Years,6Y,M,MONMOUTH,WH,22
7385,6-10 Years,8Y,F,BERGEN,WH,26
7386,21+ Years,22Y,M,ESSEX,BL,26
7387,15-20 Years,15Y,M,SOMERSET,WH,64
7388,6-10 Years,10Y,M,BERGEN,HS,37
7389,21+ Years,32Y,M,MIDDLESEX,HS,35
7390,6-10 Years,10Y,M,MIDDLESEX,HS,36
7391,15-20 Years,18Y,M,BERGEN,HS,43
7392,21+ Years,LIFE,M,ESSEX,BL,53
7394,3-5 Years,3Y,M,CAMDEN,BL,29
7395,21+ Years,25Y,M,ATLANTIC,HW,44
7396,15-20 Years,20Y,M,PASSAIC,HS,51
7397,3-5 Years,5Y,F,MORRIS,WH,39
7399,3-5 Years,5Y,M,CAPE MAY,BL,36
7400,21+ Years,75Y,M,UNION,BL,37
7401,15-20 Years,18Y,M,UNION,BL,51
7402,3-5 Years,3Y,M,HUDSON,BL,20
7403,6-10 Years,8Y,M,HUDSON,BL,22
7404,6-10 Years,8Y,M,CUMBERLAND,BL,24
7405,6-10 Years,10Y,M,SOMERSET,BL,32
7406,15-20 Years,16Y 6M,M,SOMERSET,BL,35
7407,6-10 Years,9Y,M,MIDDLESEX,HS,31
7408,21+ Years,LIFE,M,ESSEX,BL,51
7409,21+ Years,30Y,M,GLOUCESTER,WH,38
7410,21+ Years,68Y,M,PASSAIC,WH,50
7411,3-5 Years,4Y 8M 27D,M,MIDDLESEX,BL,50
7412,1-2 Years,2Y 4M 3D,M,CAPE MAY,BL,28
7413,3-5 Years,3Y 10M 1D,M,MERCER,BL,37
7414,21+ Years,LIFE,M,ATLANTIC,BL,49
7415,3-5 Years,5Y,M,PASSAIC,BL,21
7416,6-10 Years,10Y,M,ATLANTIC,BL,35
7417,3-5 Years,5Y,M,ATLANTIC,BL,21
7418,6-10 Years,10Y,M,UNION,HS,53
7419,3-5 Years,5Y,M,ATLANTIC,WH,28
7420,3-5 Years,5Y,M,CUMBERLAND,BL,22
7421,3-5 Years,5Y,M,ESSEX,BL,34
7422,21+ Years,58Y,M,PASSAIC,BL,35
7423,6-10 Years,7Y,M,CAMDEN,BL,38
7424,3-5 Years,5Y,M,MIDDLESEX,HS,21
7425,21+ Years,29Y 4M,M,MORRIS,HS,53
7426,11-14 Years,13Y,M,CAMDEN,BL,29
7427,21+ Years,25Y,F,MERCER,BL,38
7428,15-20 Years,15Y,M,PASSAIC,HS,51
7429,3-5 Years,4Y 5M 10D,M,PASSAIC,BL,63
7430,1-2 Years,1Y 4M 12D,M,HUDSON,BL,36
7431,15-20 Years,15Y 6M,M,MIDDLESEX,BL,40
7432,21+ Years,LIFE,M,MORRIS,WH,62
7433,11-14 Years,12Y 8M 7D,M,CUMBERLAND,BL,25
7434,21+ Years,LIFE4,M,MONMOUTH,BL,50
7435,6-10 Years,8Y,M,CUMBERLAND,HS,29
7436,6-10 Years,8Y 4M,M,MIDDLESEX,BL,38
7437,3-5 Years,5Y,M,ESSEX,BL,33
7438,21+ Years,30Y,M,UNION,BL,37
7439,11-14 Years,14Y,M,MIDDLESEX,BL,50
7440,21+ Years,25Y,M,UNION,WH,34
7441,3-5 Years,5Y,M,MERCER,BL,20
7442,6-10 Years,6Y,M,MIDDLESEX,BL,49
7443,3-5 Years,5Y,M,ATLANTIC,BL,25
7444,15-20 Years,17Y,M,BURLINGTON,BL,64
7445,6-10 Years,10Y,M,CAMDEN,HS,27
7446,6-10 Years,10Y,M,HUDSON,BL,26
7447,6-10 Years,6Y,M,MERCER,BL,34
7448,1-2 Years,2Y 9M 21D,M,ESSEX,BL,28
7449,3-5 Years,5Y,M,ESSEX,BL,24
7450,1-2 Years,2Y 4M 18D,M,PASSAIC,BL,36
7451,15-20 Years,20Y,M,SOMERSET,BL,31
7452,3-5 Years,5Y,M,UNION,BL,20
7453,6-10 Years,10Y,M,ESSEX,BL,40
7454,6-10 Years,8Y,M,BURLINGTON,BL,38
7455,15-20 Years,17Y 5M 4D,M,GLOUCESTER,WH,34
7456,6-10 Years,9Y,M,CUMBERLAND,BL,34
7457,11-14 Years,13Y,M,BERGEN,WH,36
7458,3-5 Years,5Y,M,ESSEX,BL,35
7459,6-10 Years,10Y,M,ESSEX,BL,34
7460,15-20 Years,15Y,M,MIDDLESEX,WH,65
7461,21+ Years,40Y,M,BURLINGTON,BL,36
7462,6-10 Years,9Y,M,MONMOUTH,BL,29
7463,15-20 Years,15Y,M,CAMDEN,HS,30
7464,21+ Years,25Y,M,ESSEX,BL,23
7465,3-5 Years,5Y,M,MIDDLESEX,BL,24
7466,21+ Years,50Y,M,MONMOUTH,WH,63
7467,6-10 Years,8Y,M,MIDDLESEX,WH,35
7468,11-14 Years,13Y,M,MIDDLESEX,BL,38
7469,6-10 Years,9Y,M,WARREN,HS,47
7470,3-5 Years,3Y,M,MONMOUTH,BL,50
7471,15-20 Years,15Y,M,UNION,BL,27
7472,11-14 Years,12Y,M,PASSAIC,BL,34
7473,15-20 Years,15Y,M,CAMDEN,BL,31
7474,3-5 Years,5Y,M,MIDDLESEX,WH,22
7475,21+ Years,50Y,M,MONMOUTH,BL,64
7476,3-5 Years,3Y,M,MIDDLESEX,BL,22
7477,3-5 Years,5Y,M,HUDSON,HS,36
7478,15-20 Years,20Y,M,UNION,BL,37
7479,15-20 Years,15Y,M,HUDSON,BL,35
7480,3-5 Years,5Y,M,CUMBERLAND,BL,38
7481,3-5 Years,5Y,M,MONMOUTH,BL,37
7483,21+ Years,80Y,M,UNION,HS,41
7484,21+ Years,30Y,M,CAMDEN,WH,50
7485,11-14 Years,11Y,M,CAMDEN,BL,29
7486,6-10 Years,6Y,M,PASSAIC,BL,35
7487,6-10 Years,8Y,M,MIDDLESEX,WH,26
7488,15-20 Years,15Y,M,UNION,HS,41
7489,3-5 Years,5Y,M,MORRIS,BL,24
7490,6-10 Years,7Y,F,CAPE MAY,BL,26
7491,6-10 Years,7Y,M,HUDSON,BL,21
7492,21+ Years,30Y,M,MONMOUTH,BL,49
7493,3-5 Years,5Y,M,MERCER,BL,23
7494,3-5 Years,5Y,M,MERCER,BL,23
7495,3-5 Years,4Y,M,OCEAN,WH,38
7496,21+ Years,30Y,M,ESSEX,BL,57
7497,21+ Years,40Y,M,ATLANTIC,BL,34
7498,11-14 Years,11Y 10M 6D,M,BURLINGTON,WH,42
7499,6-10 Years,7Y,M,MONMOUTH,HS,50
7500,6-10 Years,10Y,M,MONMOUTH,WH,56
7501,21+ Years,LIFE,M,ESSEX,HW,49
7502,3-5 Years,5Y,M,MORRIS,BL,27
7503,15-20 Years,18Y,M,PASSAIC,HS,29
7504,3-5 Years,5Y,M,CAPE MAY,WH,39
7505,6-10 Years,8Y,M,GLOUCESTER,WH,41
7506,3-5 Years,5Y,M,ESSEX,BL,37
7507,3-5 Years,5Y,M,CAMDEN,BL,37
7509,21+ Years,25Y,M,ATLANTIC,BL,49
7510,3-5 Years,5Y,M,WARREN,BL,26
7511,3-5 Years,5Y,M,HUDSON,WH,22
7512,3-5 Years,5Y,M,MERCER,BL,22
7514,6-10 Years,9Y,M,CUMBERLAND,WH,50
7515,6-10 Years,8Y 11M 30D,M,UNION,BL,49
7516,21+ Years,LIFE,M,MIDDLESEX,BL,63
7517,3-5 Years,5Y,M,BERGEN,BL,35
7518,21+ Years,30Y,M,BURLINGTON,HS,39
7519,3-5 Years,3Y,M,MONMOUTH,BL,37
7520,1-2 Years,2Y 4M 15D,M,PASSAIC,BL,30
7521,6-10 Years,10Y,M,ESSEX,HS,36
7522,1-2 Years,2Y 10M 16D,M,MIDDLESEX,HS,21
7523,21+ Years,LIFE,M,ESSEX,BL,51
7524,21+ Years,49Y,M,ATLANTIC,HS,35
7525,21+ Years,23Y,M,ATLANTIC,HS,31
7526,6-10 Years,10Y,M,HUDSON,BL,31
7527,6-10 Years,7Y,M,UNION,HS,34
7528,6-10 Years,10Y,M,UNION,HS,57
7529,6-10 Years,10Y,M,BURLINGTON,BL,32
7530,21+ Years,90Y,M,BERGEN,HS,44
7531,3-5 Years,5Y,M,CAMDEN,BL,25
7532,3-5 Years,5Y,M,CAMDEN,HS,20
7533,21+ Years,30Y,M,MONMOUTH,WH,38
7534,15-20 Years,20Y,M,MIDDLESEX,BL,63
7535,15-20 Years,18Y,M,ESSEX,HS,37
7536,11-14 Years,12Y,M,CAMDEN,BL,29
7537,6-10 Years,10Y,M,CUMBERLAND,BL,29
7538,6-10 Years,7Y,M,MIDDLESEX,HS,26
7539,11-14 Years,11Y,M,PASSAIC,HS,38
7540,15-20 Years,18Y,M,MIDDLESEX,HS,66
7541,6-10 Years,10Y,M,BURLINGTON,BL,22
7542,21+ Years,25Y,M,MIDDLESEX,BL,50
7543,6-10 Years,10Y,M,PASSAIC,WH,27
7544,1-2 Years,2Y 6M 27D,M,MORRIS,BL,37
7545,21+ Years,28Y,M,ESSEX,BL,36
7546,1-2 Years,1Y 6M,M,CAMDEN,WH,34
7547,3-5 Years,3Y,M,MONMOUTH,BL,24
7548,6-10 Years,7Y,M,MIDDLESEX,HS,31
7549,6-10 Years,10Y,M,CUMBERLAND,WH,40
7550,11-14 Years,14Y,M,BERGEN,HS,23
7551,11-14 Years,14Y,M,BERGEN,HS,25
7552,3-5 Years,5Y,M,UNION,WH,23
7553,21+ Years,LIFE,M,ESSEX,BL,49
7554,3-5 Years,3Y 2M 3D,M,ESSEX,BL,27
7555,3-5 Years,5Y 1M,M,HUDSON,BL,24
7556,6-10 Years,7Y,M,CAPE MAY,WH,38
7557,3-5 Years,5Y,M,ESSEX,BL,25
7558,11-14 Years,12Y,M,PASSAIC,BL,32
7559,6-10 Years,6Y,M,MONMOUTH,BL,27
7560,3-5 Years,5Y 5M 10D,M,UNION,BL,25
7561,3-5 Years,3Y 6M,M,MIDDLESEX,BL,20
7562,1-2 Years,1Y 25D,M,ATLANTIC,BL,25
7563,6-10 Years,7Y,M,CAMDEN,HS,40
7564,3-5 Years,3Y,M,ESSEX,BL,20
7565,3-5 Years,4Y,M,MERCER,WH,29
7566,6-10 Years,10Y,M,HUDSON,BL,34
7567,21+ Years,37Y,M,ESSEX,BL,35
7568,21+ Years,LIFE,M,ESSEX,BL,49
7569,3-5 Years,5Y,M,MIDDLESEX,WH,36
7570,11-14 Years,12Y,M,CAMDEN,BL,35
7571,11-14 Years,12Y,M,MIDDLESEX,WH,35
7572,15-20 Years,20Y,M,MONMOUTH,BL,38
7573,1-2 Years,2Y 9M 26D,M,MONMOUTH,BL,50
7574,21+ Years,38Y,M,MERCER,BL,21
7575,3-5 Years,4Y,M,ESSEX,BL,27
7576,21+ Years,35Y 9M,M,UNION,BL,63
7577,3-5 Years,5Y,M,ATLANTIC,BL,25
7578,21+ Years,40Y,M,WARREN,BL,32
7579,3-5 Years,3Y 6M,M,PASSAIC,HS,30
7580,11-14 Years,13Y,M,MIDDLESEX,BL,49
7581,6-10 Years,10Y,M,CAPE MAY,BL,35
7582,3-5 Years,5Y,M,CUMBERLAND,BL,35
7583,15-20 Years,15Y,M,CUMBERLAND,HS,21
7584,6-10 Years,7Y,M,UNION,BL,32
7585,3-5 Years,5Y,M,PASSAIC,BL,34
7586,6-10 Years,7Y,M,CAMDEN,WH,30
7587,6-10 Years,8Y,M,SOMERSET,BL,33
7588,6-10 Years,10Y 1M 4D,M,CAMDEN,HS,30
7589,15-20 Years,20Y,M,CAMDEN,HS,31
7590,21+ Years,LIFE,M,ATLANTIC,WH,86
7591,15-20 Years,17Y,M,CAMDEN,OA,60
7592,15-20 Years,15Y,M,ESSEX,BL,49
7593,21+ Years,23Y,M,CAMDEN,WH,41
7594,6-10 Years,10Y,M,PASSAIC,BL,34
7595,6-10 Years,10Y 9M 5D,M,PASSAIC,BL,26
7596,3-5 Years,5Y,M,MORRIS,HS,30
7597,15-20 Years,15Y,M,SOMERSET,HS,42
7598,6-10 Years,6Y,M,HUDSON,HS,33
7599,6-10 Years,6Y 6M,M,MIDDLESEX,BL,21
7600,11-14 Years,12Y,M,BERGEN,HS,43
7601,21+ Years,50Y,M,MIDDLESEX,BL,49
7602,21+ Years,29Y,M,GLOUCESTER,WH,49
7603,21+ Years,30Y,M,ESSEX,BL,51
7604,21+ Years,31Y,M,UNION,BL,32
7605,15-20 Years,20Y,M,CAMDEN,BL,32
7606,3-5 Years,5Y,M,SOMERSET,BL,24
7607,3-5 Years,5Y,M,WARREN,BL,49
7608,15-20 Years,20Y,M,ESSEX,BL,33
7609,21+ Years,45Y,M,CAMDEN,BL,57
7610,6-10 Years,8Y,M,ATLANTIC,BL,39
7611,15-20 Years,16Y,M,ESSEX,WH,28
7612,15-20 Years,16Y,M,ESSEX,HS,49
7613,15-20 Years,20Y,M,UNION,BL,53
7614,3-5 Years,3Y,M,SOMERSET,WH,49
7615,3-5 Years,5Y,M,HUDSON,BL,19
7616,6-10 Years,6Y,M,OCEAN,BL,42
7617,6-10 Years,7Y,F,BERGEN,BL,43
7618,6-10 Years,10Y,M,GLOUCESTER,WH,30
7619,3-5 Years,4Y 9M 21D,M,ESSEX,BL,25
7620,3-5 Years,5Y,M,HUDSON,BL,35
7621,1-2 Years,1Y 6M,M,CAMDEN,HS,37
7622,15-20 Years,18Y,M,ESSEX,BL,28
7623,3-5 Years,5Y,M,CAPE MAY,HS,29
7624,3-5 Years,5Y,M,CUMBERLAND,WH,35
7625,6-10 Years,10Y,M,MORRIS,BL,50
7626,21+ Years,30Y,M,CAPE MAY,BL,37
7627,3-5 Years,5Y,M,ESSEX,BL,22
7628,6-10 Years,6Y,M,PASSAIC,HS,41
7629,6-10 Years,6Y,M,MONMOUTH,WH,39
7630,21+ Years,30Y,M,BURLINGTON,BL,43
7631,21+ Years,57Y,M,MONMOUTH,HS,59
7632,15-20 Years,15Y,M,CAPE MAY,BL,53
7633,21+ Years,LIFE,M,ATLANTIC,BL,64
7634,3-5 Years,5Y,M,ESSEX,BL,25
7635,21+ Years,21Y,M,HUDSON,HS,30
7636,15-20 Years,20Y,M,MONMOUTH,BL,49
7637,3-5 Years,5Y,M,MERCER,BL,25
7638,3-5 Years,3Y 6M,M,ESSEX,BL,27
7639,6-10 Years,10Y,M,SOMERSET,BL,29
7640,3-5 Years,5Y,M,MIDDLESEX,BL,28
7641,15-20 Years,15Y,M,OCEAN,WH,64
7642,3-5 Years,4Y,M,CAMDEN,BL,37
7643,6-10 Years,7Y,M,CAMDEN,BL,37
7645,3-5 Years,4Y 5M 13D,M,CAMDEN,HS,35
7646,6-10 Years,6Y,M,CAMDEN,BL,25
7647,3-5 Years,3Y,M,BURLINGTON,BL,24
7648,3-5 Years,4Y,M,BURLINGTON,BL,24
7649,21+ Years,30Y,F,BERGEN,OA,74
7650,6-10 Years,7Y,M,HUDSON,HS,26
7651,3-5 Years,5Y,M,ESSEX,BL,24
7652,21+ Years,LIFE,M,BURLINGTON,BL,37
7653,1-2 Years,1Y 6M,M,GLOUCESTER,BL,37
7654,3-5 Years,3Y,M,MERCER,HS,30
7655,3-5 Years,5Y,M,ESSEX,BL,20
7656,3-5 Years,5Y,M,UNION,BL,21
7657,6-10 Years,8Y,M,ESSEX,BL,22
7658,3-5 Years,4Y,M,MIDDLESEX,HS,33
7659,3-5 Years,5Y,M,CAMDEN,WH,34
7660,15-20 Years,20Y,M,OCEAN,BL,27
7661,21+ Years,22Y,M,UNION,BL,51
7662,15-20 Years,18Y,M,CAMDEN,WH,63
7663,3-5 Years,5Y,M,CAMDEN,HS,25
7664,15-20 Years,19Y,M,BURLINGTON,BL,22
7665,11-14 Years,12Y,M,CAMDEN,BL,61
7666,15-20 Years,15Y,M,HUDSON,HS,51
7667,15-20 Years,15Y,M,MIDDLESEX,BL,49
7668,21+ Years,50Y,M,CUMBERLAND,WH,38
7669,15-20 Years,17Y,M,CAMDEN,WH,51
7670,3-5 Years,5Y,M,UNION,WH,31
7671,6-10 Years,10Y,M,MIDDLESEX,BL,50
7672,6-10 Years,6Y,M,ATLANTIC,WH,38
7673,3-5 Years,5Y,M,ATLANTIC,WH,39
7674,3-5 Years,5Y,M,ATLANTIC,BL,49
7675,21+ Years,30Y,M,MERCER,BL,47
7676,3-5 Years,5Y,M,ESSEX,BL,27
7677,3-5 Years,5Y,F,BERGEN,HS,30
7678,6-10 Years,10Y,M,ATLANTIC,BL,25
7679,3-5 Years,4Y,F,ESSEX,BL,30
7680,3-5 Years,5Y,M,PASSAIC,BL,28
7681,11-14 Years,12Y,F,BURLINGTON,BL,27
7682,3-5 Years,3Y,M,UNION,BL,49
7683,21+ Years,LIFE,M,CAMDEN,HW,46
7684,6-10 Years,8Y,M,MERCER,BL,24
7685,15-20 Years,15Y,M,ESSEX,BL,24
7686,3-5 Years,5Y,M,MONMOUTH,WH,51
7687,3-5 Years,3Y,M,PASSAIC,BL,28
7688,3-5 Years,4Y 6M,M,CAPE MAY,BL,36
7689,15-20 Years,16Y,M,BERGEN,HS,39
7690,11-14 Years,11Y,M,UNION,BL,26
7691,6-10 Years,10Y,M,PASSAIC,HS,26
7692,21+ Years,LIFE,M,MERCER,BL,49
7693,3-5 Years,5Y,M,BURLINGTON,BL,49
7694,3-5 Years,5Y,M,ATLANTIC,BL,20
7695,21+ Years,24Y,M,HUDSON,HS,35
7696,6-10 Years,7Y 6M,M,UNION,BL,50
7697,6-10 Years,10Y,M,GLOUCESTER,BL,51
7698,6-10 Years,8Y,M,BERGEN,BL,35
7699,21+ Years,LIFE,M,CAMDEN,BL,49
7700,6-10 Years,6Y,M,ATLANTIC,BL,36
7701,6-10 Years,10Y,M,UNION,BL,65
7703,15-20 Years,15Y,M,ATLANTIC,BL,49
7704,6-10 Years,10Y,M,BURLINGTON,WH,34
7705,11-14 Years,12Y,M,BURLINGTON,HS,37
7706,11-14 Years,14Y,M,MIDDLESEX,HW,57
7707,6-10 Years,10Y,M,MERCER,BL,49
7708,6-10 Years,7Y 6M,M,MONMOUTH,BL,39
7709,15-20 Years,20Y,M,ESSEX,BL,40
7710,6-10 Years,9Y,M,OCEAN,BL,35
7711,21+ Years,32Y 6M,M,MIDDLESEX,BL,49
7712,21+ Years,LIFE,M,UNION,BL,63
7713,11-14 Years,12Y,M,ESSEX,BL,25
7714,21+ Years,LIFE,M,ATLANTIC,BL,49
7716,3-5 Years,3Y 10M 25D,M,HUNTERDON,BL,24
7717,6-10 Years,7Y,M,PASSAIC,HS,26
7718,3-5 Years,5Y,M,PASSAIC,WH,21
7719,6-10 Years,10Y,M,BERGEN,BL,44
7720,3-5 Years,5Y,M,CUMBERLAND,BL,28
7721,15-20 Years,20Y,M,ESSEX,BL,27
7722,15-20 Years,20Y,M,MERCER,WH,26
7723,3-5 Years,5Y,M,ATLANTIC,BL,37
7724,6-10 Years,10Y,M,PASSAIC,HS,28
7725,6-10 Years,8Y,M,CAMDEN,BL,36
7726,6-10 Years,8Y,M,CAMDEN,BL,23
7727,3-5 Years,4Y 4M 12D,M,PASSAIC,BL,29
7728,21+ Years,40Y,M,SALEM,BL,32
7729,6-10 Years,10Y,M,MONMOUTH,BL,25
7730,6-10 Years,8Y,M,BERGEN,BL,37
7731,1-2 Years,2Y 2M 20D,M,MERCER,BL,27
7732,15-20 Years,20Y,M,CUMBERLAND,BL,38
7733,21+ Years,LIFE,M,UNION,BL,49
7734,11-14 Years,12Y,M,BURLINGTON,BL,51
7735,6-10 Years,7Y,M,UNION,BL,30
7736,15-20 Years,15Y,M,MIDDLESEX,WH,31
7737,6-10 Years,7Y,M,ESSEX,BL,29
7739,3-5 Years,5Y,M,CAMDEN,BL,27
7740,6-10 Years,10Y,M,ESSEX,BL,25
7741,21+ Years,50Y,M,ESSEX,BL,49
7742,1-2 Years,1Y 3M 27D,M,UNION,BL,32
7743,3-5 Years,3Y,M,MIDDLESEX,HS,35
7744,3-5 Years,5Y,M,OCEAN,WH,57
7745,3-5 Years,5Y 4M 25D,M,CAMDEN,WH,25
7746,1-2 Years,1Y 6M,M,CUMBERLAND,BL,52
7747,6-10 Years,8Y,M,ESSEX,BL,25
7748,6-10 Years,10Y,M,MIDDLESEX,BL,28
7749,6-10 Years,7Y,M,OCEAN,BL,39
7750,3-5 Years,4Y,M,CAMDEN,HS,27
7751,15-20 Years,15Y,M,OCEAN,HS,44
7752,3-5 Years,5Y,M,BERGEN,WH,20
7753,3-5 Years,5Y,M,CUMBERLAND,WH,24
7754,3-5 Years,5Y,M,CUMBERLAND,BL,28
7755,21+ Years,44Y 2M 24D,M,UNION,BL,49
7756,3-5 Years,5Y,M,ATLANTIC,WH,34
7757,21+ Years,LIFE,M,MONMOUTH,WH,55
7758,21+ Years,75Y,M,ESSEX,BL,38
7759,6-10 Years,6Y,M,CAMDEN,BL,22
7760,21+ Years,LIFE,M,ESSEX,BL,49
7761,6-10 Years,10Y,M,HUDSON,BL,30
7762,3-5 Years,5Y,M,UNION,BL,30
7763,21+ Years,LIFE,M,ATLANTIC,HS,59
7764,3-5 Years,3Y,M,CAMDEN,BL,28
7765,3-5 Years,5Y,F,BURLINGTON,BL,30
7766,6-10 Years,7Y,M,PASSAIC,HS,26
7767,21+ Years,LIFE4,M,MIDDLESEX,BL,36
7768,6-10 Years,8Y,M,HUDSON,BL,25
7770,6-10 Years,10Y 6M 2D,M,MIDDLESEX,HS,23
7771,15-20 Years,16Y,M,CAMDEN,BL,38
7772,21+ Years,30Y,M,HUDSON,HS,43
7773,6-10 Years,8Y,M,MIDDLESEX,OA,23
7774,21+ Years,33Y 20D,M,MIDDLESEX,HS,49
7775,6-10 Years,9Y,M,BERGEN,HS,51
7776,21+ Years,25Y,F,BURLINGTON,WH,45
7777,6-10 Years,6Y,M,PASSAIC,HS,29
7778,11-14 Years,13Y,M,ESSEX,BL,49
7779,15-20 Years,18Y,M,ESSEX,HS,35
7780,6-10 Years,9Y,M,BERGEN,HS,50
7781,21+ Years,25Y,M,HUDSON,BL,49
7782,21+ Years,155Y,M,CAMDEN,BL,49
7783,21+ Years,LIFE4,M,MONMOUTH,BL,50
7784,1-2 Years,1Y 2M 15D,M,HUDSON,BL,29
7785,3-5 Years,4Y 6M 4D,M,ESSEX,BL,29
7786,21+ Years,25Y,M,MONMOUTH,BL,21
7787,15-20 Years,18Y,F,SUSSEX,WH,49
7788,11-14 Years,12Y,M,MIDDLESEX,WH,50
7789,6-10 Years,10Y,M,ESSEX,BL,60
7790,15-20 Years,20Y,M,CAPE MAY,WH,34
7791,3-5 Years,5Y,M,MORRIS,HS,23
7792,6-10 Years,9Y,M,HUDSON,BL,37
7793,11-14 Years,12Y,M,MONMOUTH,WH,29
7794,6-10 Years,7Y,M,ESSEX,BL,28
7795,15-20 Years,15Y,M,CAMDEN,WH,52
7796,6-10 Years,10Y,M,CAMDEN,BL,24
7797,21+ Years,30Y,M,MERCER,BL,63
7798,6-10 Years,8Y,M,PASSAIC,HS,48
7799,3-5 Years,5Y,M,ESSEX,BL,49
7800,3-5 Years,4Y,M,MIDDLESEX,BL,20
7801,6-10 Years,10Y,M,MIDDLESEX,BL,34
7802,3-5 Years,5Y,M,MIDDLESEX,HS,43
7803,6-10 Years,10Y,M,UNION,BL,26
7804,6-10 Years,10Y,M,ESSEX,BL,33
7805,15-20 Years,18Y,M,MONMOUTH,HS,46
7806,21+ Years,LIFE,M,ESSEX,BL,49
7807,21+ Years,25Y,M,ESSEX,BL,25
7808,6-10 Years,6Y,M,CUMBERLAND,BL,26
7809,21+ Years,22Y 3M 26D,M,MERCER,BL,33
7810,6-10 Years,7Y,M,CAMDEN,WH,30
7811,3-5 Years,5Y,M,MONMOUTH,WH,33
7812,6-10 Years,7Y,M,PASSAIC,WH,23
7813,6-10 Years,8Y,M,MONMOUTH,BL,49
7814,6-10 Years,10Y,M,OCEAN,HS,41
7815,15-20 Years,20Y 5M 8D,M,PASSAIC,HS,49
7816,6-10 Years,6Y,M,UNION,BL,63
7817,1-2 Years,2Y 10M 15D,M,BURLINGTON,BL,49
7818,21+ Years,30Y,M,UNION,BL,26
7819,3-5 Years,3Y 6M,M,PASSAIC,HS,35
7820,21+ Years,25Y,M,MIDDLESEX,BL,35
7821,6-10 Years,6Y 6M,M,CAMDEN,WH,34
7822,21+ Years,30Y,M,BURLINGTON,BL,50
7823,21+ Years,LIFE,M,MONMOUTH,BL,49
7824,6-10 Years,6Y,M,UNION,HS,42
7825,6-10 Years,7Y,M,BERGEN,WH,38
7826,6-10 Years,7Y 1M 1D,M,PASSAIC,BL,22
